epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,190.357,0.3893,0.94813,1,0.11937,0.000554705,0.000554705,0.000554705
2,354.923,0.1636,0.92521,1,0.18017,0.00105541,0.00105541,0.00105541
3,516.386,0.12813,0.96019,1,0.12453,0.0015011,0.0015011,0.0015011
4,678.23,0.12479,0.96743,1,0.09241,0.00141945,0.00141945,0.00141945
5,902.406,0.07771,0.97949,1,0.06612,0.00133693,0.00133693,0.00133693
6,1140.27,0.05707,0.97829,1,0.05239,0.00125442,0.00125442,0.00125442
7,1411.61,0.05722,0.97226,1,0.06719,0.0011719,0.0011719,0.0011719
8,1690.26,0.03972,0.97467,1,0.07587,0.00108938,0.00108938,0.00108938
9,1979.59,0.04462,0.97949,1,0.04982,0.00100687,0.00100687,0.00100687
10,2261.79,0.02989,0.98191,1,0.04544,0.000924352,0.000924352,0.000924352
11,2500.16,0.02428,0.97467,1,0.06954,0.000841835,0.000841835,0.000841835
12,2782.65,0.02695,0.98794,1,0.04516,0.000759318,0.000759318,0.000759318
13,2950.38,0.02172,0.99035,1,0.0354,0.000676802,0.000676802,0.000676802
14,3127.95,0.01189,0.98673,1,0.03833,0.000594286,0.000594286,0.000594286
15,3318.92,0.01479,0.98432,1,0.03957,0.000511769,0.000511769,0.000511769
16,3509.39,0.01613,0.99156,1,0.02195,0.000429253,0.000429253,0.000429253
17,3700.46,0.01256,0.99638,1,0.01089,0.000346736,0.000346736,0.000346736
18,3872.31,0.01128,0.99397,1,0.02195,0.00026422,0.00026422,0.00026422
19,4042.71,0.01015,0.98914,1,0.03657,0.000181703,0.000181703,0.000181703
20,4212,0.01085,0.99276,1,0.02313,9.91865e-05,9.91865e-05,9.91865e-05
