epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,279.972,0.38695,0.88661,1,0.31278,0.000554705,0.000554705,0.000554705
2,481.791,0.15181,0.95657,1,0.13756,0.00105541,0.00105541,0.00105541
3,785.981,0.1385,0.94572,1,0.17572,0.0015011,0.0015011,0.0015011
4,945.645,0.10255,0.93727,1,0.16649,0.00141945,0.00141945,0.00141945
5,1101.53,0.08822,0.97226,1,0.06612,0.00133693,0.00133693,0.00133693
6,1258.51,0.05723,0.97346,1,0.05941,0.00125442,0.00125442,0.00125442
7,1415.34,0.05221,0.96261,1,0.08868,0.0011719,0.0011719,0.0011719
8,1571.38,0.04772,0.97829,1,0.05022,0.00108938,0.00108938,0.00108938
9,1727.61,0.04592,0.97226,1,0.07469,0.00100687,0.00100687,0.00100687
10,1883.9,0.03134,0.98311,1,0.04115,0.000924352,0.000924352,0.000924352
11,2040.15,0.02276,0.97105,1,0.08902,0.000841835,0.000841835,0.000841835
12,2200.26,0.02468,0.98191,1,0.05112,0.000759318,0.000759318,0.000759318
13,2355.6,0.0194,0.98311,1,0.04691,0.000676802,0.000676802,0.000676802
14,2511.44,0.01625,0.98311,1,0.04322,0.000594286,0.000594286,0.000594286
15,2665.89,0.01553,0.99035,1,0.03785,0.000511769,0.000511769,0.000511769
16,2821.37,0.01634,0.99276,1,0.02976,0.000429253,0.000429253,0.000429253
17,2976.24,0.01275,0.99035,1,0.03664,0.000346736,0.000346736,0.000346736
18,3131.52,0.0126,0.99276,1,0.03452,0.00026422,0.00026422,0.00026422
19,3286.07,0.00906,0.99035,1,0.03853,0.000181703,0.000181703,0.000181703
20,3441.15,0.00899,0.99517,1,0.02822,9.91865e-05,9.91865e-05,9.91865e-05
